;Bergen;Stockholm;Benmore;Edinburgh;Dublin;Bedgebury;Munich;Salzburg;Geneva;Ljubljana;Podgorica;Pontevedra;Tirana;Cordoba
2014-03-17;2,329999948;0,469999989;9,529999787;9,749999782;8,809999803;9,529999787;11,22999975;11,09999975;9,969999777;11,89999973;9,699999783;13,4899997;12,00999973;15,84999965
2014-03-18;2,969999934;-0,42999999;7,729999827;7,61999983;9,009999799;9,949999778;11,40999974;10,27999977;11,63999974;11,73999974;9,589999786;12,13999973;11,91999973;15,37999966
2014-03-19;4,359999903;-0,999999978;9,619999785;9,539999787;11,03999975;11,07999975;9,209999794;9,289999792;10,01999978;11,78999974;9,589999786;14,02999969;12,66999972;15,77999965
2014-03-20;5,699999873;2,829999937;7,489999833;7,59999983;8,699999806;10,71999976;10,81999976;10,29999977;9,799999781;10,62999976;8,199999817;12,50999972;10,08999977;15,41999966
2014-03-21;4,179999907;8,779999804;4,589999897;4,529999899;6,359999858;9,429999789;12,52999972;11,70999974;12,37999972;11,09999975;8,639999807;11,80999974;10,07999977;14,72999967
2014-03-22;3,899999913;5,429999879;4,389999902;3,759999916;4,789999893;7,61999983;9,029999798;10,33999977;7,789999826;10,25999977;8,239999816;9,199999794;11,24999975;12,98999971
2014-03-23;2,67999994;5,019999888;4,739999894;4,239999905;5,889999868;5,689999873;2,24999995;1,919999957;3,869999913;9,029999798;8,379999813;8,689999806;11,10999975;10,64999976
2014-03-24;2,709999939;3,719999917;2,989999933;1,879999958;4,429999901;5,159999885;2,22999995;1,169999974;2,799999937;4,149999907;4,649999896;10,96999975;10,40999977;10,87999976
2014-03-25;3,549999921;3,55999992;6,679999851;5,679999873;6,469999855;7,259999838;1,649999963;1,709999962;3,249999927;3,339999925;3,209999928;8,319999814;6,149999863;11,34999975
2014-03-26;4,949999889;3,279999927;6,769999849;4,599999897;5,879999869;5,739999872;2,499999944;2,67999994;4,879999891;5,599999875;4,649999896;8,409999812;8,239999816;11,56999974
2014-03-27;5,169999884;5,199999884;5,319999881;5,239999883;3,509999922;5,929999867;5,609999875;6,089999864;5,099999886;7,739999827;5,239999883;7,449999833;9,139999796;9,619999785
2014-03-28;7,339999836;4,959999889;4,969999889;4,549999898;5,80999987;8,03999982;6,979999844;6,68999985;6,669999851;10,02999978;5,399999879;9,279999793;7,229999838;10,23999977
2014-03-29;8,149999818;6,599999852;6,649999851;6,129999863;7,299999837;11,82999974;8,50999981;8,609999808;8,709999805;9,909999778;8,749999804;10,30999977;10,60999976;10,10999977
2014-03-30;6,399999857;5,899999868;8,419999812;6,989999844;9,609999785;13,04999971;10,62999976;10,37999977;11,36999975;11,25999975;8,729999805;9,579999786;10,32999977;11,64999974
2014-03-31;4,949999889;3,019999932;8,529999809;7,089999842;10,11999977;13,06999971;10,40999977;9,38999979;11,03999975;12,06999973;8,9699998;11,38999975;11,20999975;16,26999964
2014-04-01;4,4899999;1,269999972;7,819999825;7,079999842;8,409999812;12,69999972;10,79999976;10,34999977;11,74999974;12,40999972;8,849999802;11,04999975;11,39999975;16,90999962
2014-04-02;4,4699999;2,23999995;7,549999831;6,589999853;8,829999803;13,73999969;12,62999972;11,70999974;11,69999974;11,92999973;8,719999805;12,23999973;11,42999974;13,11999971
2014-04-03;3,819999915;2,029999955;8,179999817;7,029999843;11,07999975;14,03999969;13,64999969;12,53999972;11,07999975;11,54999974;8,409999812;10,97999975;11,90999973;12,24999973
2014-04-04;4,89999989;2,479999945;8,249999816;7,099999841;10,78999976;12,36999972;11,53999974;10,46999977;12,72999972;13,4899997;10,29999977;10,92999976;11,89999973;12,03999973
2014-04-05;4,119999908;3,879999913;8,639999807;7,909999823;12,36999972;10,26999977;11,64999974;11,18999975;12,37999972;11,80999974;9,539999787;14,15999968;12,31999972;16,62999963
2014-04-06;7,949999822;7,029999843;10,14999977;10,66999976;13,2399997;13,91999969;11,43999974;10,65999976;12,58999972;12,88999971;9,969999777;14,72999967;11,89999973;18,48999959
2014-04-07;8,569999808;5,709999872;7,60999983;6,659999851;9,649999784;13,71999969;13,74999969;12,19999973;14,26999968;12,94999971;10,64999976;13,17999971;12,65999972;19,71999956
2014-04-08;7,359999835;4,00999991;7,049999842;7,009999843;7,919999823;9,609999785;11,11999975;10,51999976;12,20999973;15,19999966;11,66999974;14,45999968;13,2999997;20,36999954
2014-04-09;6,549999854;2,919999935;9,069999797;8,819999803;10,04999978;9,899999779;7,989999821;6,549999854;9,489999788;10,33999977;8,189999817;18,78999958;12,54999972;19,67999956
2014-04-10;5,82999987;3,59999992;7,789999826;8,259999815;9,909999778;10,48999977;8,109999819;6,26999986;10,36999977;10,13999977;6,489999855;19,61999956;8,589999808;21,19999953
